id;AbilityRank;AbilityRankDivision;AverageAbility;Division;DivisionID;Name;SeedingGroup;Tactics;TacticsValue;TotalAbility;Logo;SeedingNumber;NoOfPlayers
1;1;1;4.9563786997037164e-36;Div 1;Div 1-1;KÄ;A;Neutral;0.410958904109589;2.97382721982223e-35;KÄ.png;1;6
2;2;2;4.862171968797572e-34;Div 1;Div 1-2;DBL;A;Defensiv;0.1;2.917303181278543e-33;DBL.png;2;6
3;7;5;4.469053958650409e-36;Div 1;Div 1-3;SF;A;Neutral;0.5;2.681432375190245e-35;SF.png;3;6
4;13;7;4.1591617613053835e-32;Div 1;Div 1-4;ZB;A;Neutral;0.595238095238095;2.49549705678323e-31;ZB.png;4;6
5;19;9;4.0125857643010375e-34;Div 1;Div 1-5;PBV;B;Neutral;0.413793103448276;2.4075514585806223e-33;PBV.png;1;6
6;6;4;4.4895138126813985e-42;Div 1;Div 1-6;SL;B;Neutral;0.531645569620253;2.693708287608839e-41;SL.png;2;6
7;23;10;3.855678704654116e-32;Div 1;Div 1-7;FF;B;Defensiv;0.225806451612903;2.31340722279247e-31;FF.png;3;6
8;15;8;4.105546739218727e-34;Div 1;Div 1-8;SSM;B;Neutral;0.369565217391304;2.463328043531236e-33;SSM.png;4;6
9;4;3;4.517665289549259e-38;Div 1;Div 1-9;SFA;B;Neutral;0.591836734693878;2.7105991737295553e-37;SFA.png;5;6
10;9;6;4.313581386128483e-34;Div 1;Div 1-10;PF;B;Neutral;0.571428571428571;2.5881488316770897e-33;PF.png;6;6
11;3;1;4.550659235304575e-40;Div 2;Div 2-1;ÖD;B;Neutral;0.551282051282051;2.7303955411827446e-39;ÖD.png;7;6
12;32;10;3.415312547766959e-32;Div 2;Div 2-2;HÖ;C;Neutral;0.436781609195402;2.0491875286601752e-31;HÖ.png;1;6
13;17;8;4.0841329360539696e-40;Div 2;Div 2-3;PA;C;Neutral;0.583333333333333;2.4504797616323816e-39;PA.png;2;6
14;5;2;4.497651783896683e-36;Div 2;Div 2-4;TG;C;Neutral;0.321428571428571;2.69859107033801e-35;TG.png;3;6
15;8;3;4.339600101443277e-34;Div 2;Div 2-5;SFÅ;C;Defensiv;0.196428571428571;2.603760060865966e-33;SFÅ.png;4;6
16;14;6;4.149020922515741e-36;Div 2;Div 2-6;TWL;C;Defensiv;0.235294117647059;2.4894125535094444e-35;TWL.png;5;6
17;10;4;4.2813745375891275e-32;Div 2;Div 2-7;VIK;C;Defensiv;0.25;2.5688247225534765e-31;VIK.png;6;6
18;24;9;3.843868949314306e-30;Div 2;Div 2-8;LION;C;Neutral;0.5;2.3063213695885835e-29;LION.png;7;6
19;16;7;4.0991950148653613e-38;Div 2;Div 2-9;SSL;D;Offensiv;0.764705882352941;2.869436510405753e-37;SSL.png;1;7
20;12;5;4.174165495258139e-32;Div 2;Div 2-10;LEO;D;Neutral;0.678571428571429;2.5044992971548835e-31;LEO.png;2;6
21;38;9;3.1579540290790584e-34;Div 3;Div 3-1;TBT;D;Neutral;0.439024390243902;1.894772417447435e-33;TBT.png;3;6
22;33;8;3.2930241839681034e-36;Div 3;Div 3-2;ISF;D;Neutral;0.51685393258427;1.9758145103808622e-35;ISF.png;4;6
23;26;6;3.6485391221840454e-32;Div 3;Div 3-3;MS;D;Neutral;0.533333333333333;2.1891234733104273e-31;MS.png;5;6
24;20;3;3.917266810251592e-34;Div 3;Div 3-4;KS;D;Neutral;0.346153846153846;2.350360086150955e-33;KS.png;6;6
25;18;2;4.067891198402445e-34;Div 3;Div 3-5;SST;D;Neutral;0.666666666666667;2.440734719041467e-33;SST.png;7;6
26;21;4;3.8769951117230614e-36;Div 3;Div 3-6;TA;E;Defensiv;0.269230769230769;2.326197067033837e-35;TA.png;1;6
27;22;5;3.874373111062039e-34;Div 3;Div 3-7;BK;E;Neutral;0.656;2.3246238666372234e-33;BK.png;2;6
28;43;10;3.0487605005012197e-34;Div 3;Div 3-8;EAG;E;Neutral;0.529411764705882;1.829256300300732e-33;EAG.png;3;6
29;11;1;4.182426000667548e-34;Div 3;Div 3-9;TH;E;Defensiv;0.2;2.5094556004005285e-33;TH.png;4;6
30;28;7;3.560850002785883e-32;Div 3;Div 3-10;DO;E;Defensiv;0.178571428571429;2.13651000167153e-31;DO.png;5;6
31;35;5;3.2256855452071834e-36;Div 4;Div 4-1;TW;E;Neutral;0.397727272727273;1.93541132712431e-35;TW.png;6;6
32;31;4;3.4232481585785813e-34;Div 4;Div 4-2;TL;E;Neutral;0.484536082474227;2.0539488951471488e-33;TL.png;7;6
33;30;3;3.5005513059168317e-34;Div 4;Div 4-3;SS;F;Defensiv;0.0677966101694915;2.100330783550099e-33;SS.png;1;6
34;39;6;3.1114574385485167e-32;Div 4;Div 4-4;CHA;F;Neutral;0.409090909090909;1.86687446312911e-31;CHA.png;2;6
35;29;2;3.536806719999943e-36;Div 4;Div 4-5;VP;F;Defensiv;0.127659574468085;2.122084031999966e-35;VP.png;3;6
36;25;1;3.822786780044528e-34;Div 4;Div 4-6;LOD;F;Neutral;0.484375;2.293672068026717e-33;LOD.png;4;6
37;40;7;3.0805941606829286e-34;Div 4;Div 4-7;SOL;F;Defensiv;0.222222222222222;2.15641591247805e-33;SOL.png;5;7
38;42;8;3.0545677538972187e-28;Div 4;Div 4-8;S;F;Neutral;0.386363636363636;1.832740652338331e-27;S.png;6;6
39;48;9;2.7288632582384015e-32;Div 4;Div 4-9;CJ;F;Neutral;0.5;1.9102042807668812e-31;CJ.png;7;7
40;57;10;2.3766335821841482e-32;Div 4;Div 4-10;SV;G;Neutral;0.5;1.6636435075289038e-31;SV.png;1;7
41;27;1;3.6462261912316035e-32;Div 5;Div 5-1;TD;G;Defensiv;0.0166666666666667;2.187735714738962e-31;TD.png;2;6
42;53;8;2.6478520529646873e-34;Div 5;Div 5-2;KN;G;Neutral;0.491071428571428;1.853496437075281e-33;KN.png;3;7
43;44;4;3.0114247768362116e-40;Div 5;Div 5-3;SFI;G;Neutral;0.5;2.107997343785348e-39;SFI.png;4;7
44;37;2;3.166695373402427e-34;Div 5;Div 5-4;HS;G;Neutral;0.5;2.216686761381699e-33;HS.png;5;7
45;56;10;2.5070811653721786e-32;Div 5;Div 5-5;SVF;G;Neutral;0.5;1.754956815760525e-31;SVF.png;6;7
46;54;9;2.636357415027594e-34;Div 5;Div 5-6;ELD;G;Neutral;0.5;1.845450190519316e-33;ELD.png;7;7
47;45;5;2.905927276666989e-32;Div 5;Div 5-7;COB;H;Neutral;0.5;2.034149093666892e-31;COB.png;1;7
48;51;7;2.677910575178031e-28;Div 5;Div 5-8;NS;H;Neutral;0.5;1.8745374026246216e-27;NS.png;2;7
49;49;6;2.6873977071832266e-36;Div 5;Div 5-9;AF;H;Neutral;0.5;1.8811783950282585e-35;AF.png;3;7
50;41;3;3.077806238120035e-38;Div 5;Div 5-10;HH;H;Neutral;0.5;1.846683742872021e-37;HH.png;4;6
51;60;10;1.8503541106496357e-30;Div 6;Div 6-1;MÖS;H;Neutral;0.5;1.295247877454745e-29;MÖS.png;5;7
52;55;7;2.6334876463082586e-34;Div 6;Div 6-2;GC;H;Neutral;0.5;1.843441352415781e-33;GC.png;6;7
53;58;8;2.2820737131063308e-32;Div 6;Div 6-3;BM;H;Neutral;0.5;1.5974515991744314e-31;BM.png;7;7
54;52;6;2.6690607099347884e-30;Div 6;Div 6-4;CN;I;Neutral;0.5;1.601436425960873e-29;CN.png;1;6
55;34;1;3.2759138523786186e-36;Div 6;Div 6-5;BI;I;Neutral;0.5;1.9655483114271713e-35;BI.png;2;6
56;47;4;2.7575206180197604e-34;Div 6;Div 6-6;SOS;I;Neutral;0.5;1.930264432613832e-33;SOS.png;3;7
57;59;9;1.9004603814999576e-32;Div 6;Div 6-7;ÖR;I;Neutral;0.5;1.3303222670499703e-31;ÖR.png;4;7
58;46;3;2.781031201650604e-32;Div 6;Div 6-8;KU;I;Neutral;0.5;1.946721841155423e-31;KU.png;5;7
59;36;2;3.2227554176608922e-34;Div 6;Div 6-9;ARK;I;Neutral;0.5;2.2559287923626247e-33;ARK.png;6;7
60;50;5;2.6854071615952886e-34;Div 6;Div 6-10;GE;I;Neutral;0.5;1.611244296957173e-33;GE.png;7;6
