id;AbilityRank;AbilityRankDivision;AverageAbility;Division;DivisionID;Name;NoOfPlayers;SeedingGroup;SeedingNumber;Tactics;TacticsValue;TotalAbility;Logo
1;1;1;4.95637869970372;Div 1;Div 1-1;KÄ;6;A;1;Neutral;0.410958904109589;29.7382721982223;KÄ.png
2;2;2;4.86217196879757;Div 1;Div 1-2;DBL;6;A;2;Defensiv;0.1;29.1730318127854;DBL.png
3;7;5;4.46905395865041;Div 1;Div 1-3;SF;6;A;3;Neutral;0.5;26.8143237519024;SF.png
4;13;7;4.15916176130538;Div 1;Div 1-4;ZB;6;A;4;Neutral;0.595238095238095;24.9549705678323;ZB.png
5;19;9;4.01258576430104;Div 1;Div 1-5;PBV;6;B;1;Neutral;0.413793103448276;24.0755145858062;PBV.png
6;6;4;4.4895138126814;Div 1;Div 1-6;SL;6;B;2;Neutral;0.531645569620253;26.9370828760884;SL.png
7;23;10;3.85567870465412;Div 1;Div 1-7;FF;6;B;3;Defensiv;0.225806451612903;23.1340722279247;FF.png
8;15;8;4.10554673921873;Div 1;Div 1-8;SSM;6;B;4;Neutral;0.369565217391304;24.6332804353124;SSM.png
9;4;3;4.51766528954926;Div 1;Div 1-9;SFA;6;B;5;Neutral;0.591836734693878;27.1059917372956;SFA.png
10;9;6;4.31358138612848;Div 1;Div 1-10;PF;6;B;6;Neutral;0.571428571428571;25.8814883167709;PF.png
11;3;1;4.55065923530458;Div 2;Div 2-1;ÖD;6;B;7;Neutral;0.551282051282051;27.3039554118275;ÖD.png
12;32;10;3.41531254776696;Div 2;Div 2-2;HÖ;6;C;1;Neutral;0.436781609195402;20.4918752866017;HÖ.png
13;17;8;4.08413293605397;Div 2;Div 2-3;PA;6;C;2;Neutral;0.583333333333333;24.5047976163238;PA.png
14;5;2;4.49765178389668;Div 2;Div 2-4;TG;6;C;3;Neutral;0.321428571428571;26.9859107033801;TG.png
15;8;3;4.33960010144328;Div 2;Div 2-5;SFÅ;6;C;4;Defensiv;0.196428571428571;26.0376006086597;SFÅ.png
16;14;6;4.14902092251574;Div 2;Div 2-6;TWL;6;C;5;Defensiv;0.235294117647059;24.8941255350944;TWL.png
17;10;4;4.28137453758913;Div 2;Div 2-7;VIK;6;C;6;Defensiv;0.25;25.6882472255348;VIK.png
18;24;9;3.8438689493143;Div 2;Div 2-8;LION;6;C;7;Neutral;0.5;23.0632136958858;LION.png
19;16;7;4.09919501486536;Div 2;Div 2-9;SSL;7;D;1;Offensiv;0.764705882352941;28.6943651040575;SSL.png
20;12;5;4.17416549525814;Div 2;Div 2-10;LEO;6;D;2;Neutral;0.678571428571429;25.0449929715488;LEO.png
21;38;9;3.15795402907906;Div 3;Div 3-1;TBT;6;D;3;Neutral;0.439024390243902;18.9477241744744;TBT.png
22;33;8;3.2930241839681;Div 3;Div 3-2;ISF;6;D;4;Neutral;0.51685393258427;19.7581451038086;ISF.png
23;26;6;3.64853912218405;Div 3;Div 3-3;MS;6;D;5;Neutral;0.533333333333333;21.8912347331043;MS.png
24;20;3;3.91726681025159;Div 3;Div 3-4;KS;6;D;6;Neutral;0.346153846153846;23.5036008615096;KS.png
25;18;2;4.06789119840244;Div 3;Div 3-5;SST;6;D;7;Neutral;0.666666666666667;24.4073471904147;SST.png
26;21;4;3.87699511172306;Div 3;Div 3-6;TA;6;E;1;Defensiv;0.269230769230769;23.2619706703384;TA.png
27;22;5;3.87437311106204;Div 3;Div 3-7;BK;6;E;2;Neutral;0.656;23.2462386663722;BK.png
28;43;10;3.04876050050122;Div 3;Div 3-8;EAG;6;E;3;Neutral;0.529411764705882;18.2925630030073;EAG.png
29;11;1;4.18242600066755;Div 3;Div 3-9;TH;6;E;4;Defensiv;0.2;25.0945560040053;TH.png
30;28;7;3.56085000278589;Div 3;Div 3-10;DO;6;E;5;Defensiv;0.178571428571429;21.3651000167153;DO.png
31;35;5;3.22568554520718;Div 4;Div 4-1;TW;6;E;6;Neutral;0.397727272727273;19.3541132712431;TW.png
32;31;4;3.42324815857858;Div 4;Div 4-2;TL;6;E;7;Neutral;0.484536082474227;20.5394889514715;TL.png
33;30;3;3.50055130591683;Div 4;Div 4-3;SS;6;F;1;Defensiv;0.0677966101694915;21.003307835501;SS.png
34;39;6;3.11145743854852;Div 4;Div 4-4;CHA;6;F;2;Neutral;0.409090909090909;18.6687446312911;CHA.png
35;29;2;3.53680671999994;Div 4;Div 4-5;VP;6;F;3;Defensiv;0.127659574468085;21.2208403199997;VP.png
36;25;1;3.82278678004453;Div 4;Div 4-6;LOD;6;F;4;Neutral;0.484375;22.9367206802672;LOD.png
37;40;7;3.08059416068293;Div 4;Div 4-7;SOL;7;F;5;Defensiv;0.222222222222222;21.5641591247805;SOL.png
38;42;8;3.05456775389722;Div 4;Div 4-8;S;6;F;6;Neutral;0.386363636363636;18.3274065233833;S.png
39;48;9;2.7288632582384;Div 4;Div 4-9;CJ;7;F;7;Neutral;0.5;19.1020428076688;CJ.png
40;57;10;2.37663358218415;Div 4;Div 4-10;SV;7;G;1;Neutral;0.5;16.636435075289;SV.png
41;27;1;3.6462261912316;Div 5;Div 5-1;TD;6;G;2;Defensiv;0.0166666666666667;21.8773571473896;TD.png
42;53;8;2.64785205296469;Div 5;Div 5-2;KN;7;G;3;Neutral;0.491071428571428;18.5349643707528;KN.png
43;44;4;3.01142477683621;Div 5;Div 5-3;SFI;7;G;4;Neutral;0.5;21.0799734378535;SFI.png
44;37;2;3.16669537340243;Div 5;Div 5-4;HS;7;G;5;Neutral;0.5;22.166867613817;HS.png
45;56;10;2.50708116537218;Div 5;Div 5-5;SVF;7;G;6;Neutral;0.5;17.5495681576053;SVF.png
46;54;9;2.63635741502759;Div 5;Div 5-6;ELD;7;G;7;Neutral;0.5;18.4545019051932;ELD.png
47;45;5;2.90592727666699;Div 5;Div 5-7;COB;7;H;1;Neutral;0.5;20.3414909366689;COB.png
48;51;7;2.67791057517803;Div 5;Div 5-8;NS;7;H;2;Neutral;0.5;18.7453740262462;NS.png
49;49;6;2.68739770718323;Div 5;Div 5-9;AF;7;H;3;Neutral;0.5;18.8117839502826;AF.png
50;41;3;3.07780623812004;Div 5;Div 5-10;HH;6;H;4;Neutral;0.5;18.4668374287202;HH.png
51;60;10;0.018503541106496355;Div 6;Div 6-1;MÖS;7;H;5;Neutral;0.5;0.1295247877454745;MÖS.png
52;55;7;2.63348764630826;Div 6;Div 6-2;GC;7;H;6;Neutral;0.5;18.4344135241578;GC.png
53;58;8;2.28207371310633;Div 6;Div 6-3;BM;7;H;7;Neutral;0.5;15.9745159917443;BM.png
54;52;6;2.66906070993479;Div 6;Div 6-4;CN;6;I;1;Neutral;0.5;16.0143642596087;CN.png
55;34;1;3.2759138523786184;Div 6;Div 6-5;BI;6;I;2;Neutral;0.5;19.65548311427171;BI.png
56;47;4;2.75752061801976;Div 6;Div 6-6;SOS;7;I;3;Neutral;0.5;19.3026443261383;SOS.png
57;59;9;1.90046038149996;Div 6;Div 6-7;ÖR;7;I;4;Neutral;0.5;13.3032226704997;ÖR.png
58;46;3;2.7810312016506;Div 6;Div 6-8;KU;7;I;5;Neutral;0.5;19.4672184115542;KU.png
59;36;2;3.22275541766089;Div 6;Div 6-9;ARK;7;I;6;Neutral;0.5;22.5592879236263;ARK.png
60;50;5;2.68540716159529;Div 6;Div 6-10;GE;6;I;7;Neutral;0.5;16.1124429695717;GE.png
